sample,Library-1-Pre-1,Library-1-Pre-2,Library-1-Pre-3,Library-2-Pre-2,Library-2-Pre-3,Library-3-Pre-2,Library-3-Pre-3,Library-1-Neg-1,Library-1-Neg-2,Library-1-Neg-3,Library-2-Neg-2,Library-2-Neg-3,Library-3-Neg-2,Library-3-Neg-3,Library-1-Pos-1,Library-1-Pos-2,Library-1-Pos-3,Library-2-Pos-2,Library-2-Pos-3,Library-3-Pos-1,Library-3-Pos-2,Library-3-Pos-3
Library-1-Pre-1,1.0,0.9772981685447731,0.9780116668799053,0.9580280755525129,0.971886883967849,0.975048032167535,0.9742236228313821,0.999592934540409,0.9821775783727772,0.9820193280034186,0.9755556390666791,0.9790199951668733,0.9823789989953636,0.9822795630118135,0.9953550654305584,0.9940833698755548,0.9949314180280661,0.9945995144610994,0.9961580950872065,0.9661557398412919,0.9830260507225762,0.9996503235241244
Library-1-Pre-2,0.9772981685447731,1.0,0.999332504315554,0.9944212616438913,0.9986328713552004,0.9974767643945425,0.999071896947299,0.9780351290291059,0.9859907178491512,0.9821576282876773,0.9978442219262645,0.9982751931854286,0.9961333279217118,0.9958225707523239,0.9538476322048203,0.9517291700452819,0.9521679046003644,0.962755239142145,0.9567211015886662,0.994948759527876,0.9831534084291692,0.9784277795244358
Library-1-Pre-3,0.9780116668799053,0.999332504315554,1.0,0.9933522354808217,0.9990901716883186,0.9963642958583032,0.9994000968577875,0.9792918277811927,0.986668824830965,0.9831599462294471,0.9988018180872934,0.9991014091977047,0.9958252152279872,0.9961552295598993,0.9551325212954016,0.9527746892824711,0.9539549371989879,0.9626950326779319,0.9584057030436758,0.9955342928274628,0.9839978255782779,0.9796724954846435
Library-2-Pre-2,0.9580280755525129,0.9944212616438913,0.9933522354808217,1.0,0.996095455459861,0.9921140210899141,0.995800742984741,0.9599143645963304,0.9708091301624415,0.9645588573351018,0.9926079568529035,0.9911723464084279,0.9877511068860504,0.9869616061048642,0.9280386827126912,0.9264240067684204,0.9264125914815965,0.9362581153685469,0.9318525422774582,0.9943518307787685,0.965504389944171,0.9599454633190027
Library-2-Pre-3,0.971886883967849,0.9986328713552004,0.9990901716883186,0.996095455459861,1.0,0.9960035295561528,0.9994574460773616,0.9736707769100698,0.982363570524244,0.9784290240488027,0.9985266899763166,0.9978789762313887,0.9940915193279244,0.9943305458111673,0.9463222744526203,0.944213920729673,0.9451521516315053,0.9536620633777375,0.9499325737813764,0.9960625602100103,0.979036311640082,0.9741417222181309
Library-3-Pre-2,0.975048032167535,0.9974767643945425,0.9963642958583032,0.9921140210899141,0.9960035295561528,1.0,0.9965797752250626,0.9746616093767441,0.9856609699549979,0.9842366315337998,0.9950791573602533,0.9958753304270901,0.9961448988815643,0.9956701521709159,0.9524181907524943,0.9508899563333868,0.9499980258699623,0.9622193134770979,0.9530489899809486,0.9884166066906802,0.9849527058564469,0.975594312200057
Library-3-Pre-3,0.9742236228313821,0.999071896947299,0.9994000968577875,0.995800742984741,0.9994574460773616,0.9965797752250626,1.0,0.9755901548112813,0.9828004406616128,0.9792962162501588,0.9980283913660829,0.9981112240915058,0.9947608779649715,0.9948629515539457,0.9493337406752571,0.9470081991540902,0.9481025296108033,0.9567689571934935,0.9530320525741858,0.9951323687343814,0.9801779698806335,0.975959623393269
Library-1-Neg-1,0.999592934540409,0.9780351290291059,0.9792918277811927,0.9599143645963304,0.9736707769100698,0.9746616093767441,0.9755901548112813,1.0,0.9816393365294748,0.9806954703229321,0.9771102202888985,0.980054360916971,0.982278586788847,0.9824186910473057,0.9940089747509511,0.99257011447329,0.9940416366904141,0.9921667727802106,0.9957787757254005,0.9690078193522167,0.9816237756980601,0.9998889923077048
Library-1-Neg-2,0.9821775783727772,0.9859907178491512,0.986668824830965,0.9708091301624415,0.982363570524244,0.9856609699549979,0.9828004406616128,0.9816393365294748,1.0,0.9976324776390105,0.9889619307571342,0.9910811798574859,0.9937921596888885,0.994265595273832,0.9690543809064188,0.9675043290606448,0.9677262653136702,0.9742884133238653,0.9671205694969501,0.9784124350538397,0.9980987522141109,0.9824786749162432
Library-1-Neg-3,0.9820193280034186,0.9821576282876773,0.9831599462294471,0.9645588573351018,0.9784290240488027,0.9842366315337998,0.9792962162501588,0.9806954703229321,0.9976324776390105,1.0,0.9852883301481987,0.9877977222714838,0.9919911396908719,0.9926974929217839,0.9713936095762757,0.97043386822622,0.9697313768394192,0.9761546483995386,0.9674404716432168,0.9694755741816803,0.9998602534794196,0.9821986157948739
Library-2-Neg-2,0.9755556390666791,0.9978442219262645,0.9988018180872934,0.9926079568529035,0.9985266899763166,0.9950791573602533,0.9980283913660829,0.9771102202888985,0.9889619307571342,0.9852883301481987,1.0,0.9995475414562125,0.9967574345787138,0.9974001436170156,0.9525822953922515,0.9506393792204192,0.9515539841763512,0.9592370773763143,0.9551271765021426,0.9954030979867257,0.9857357509093564,0.977675847463296
Library-2-Neg-3,0.9790199951668733,0.9982751931854286,0.9991014091977047,0.9911723464084279,0.9978789762313887,0.9958753304270901,0.9981112240915058,0.980054360916971,0.9910811798574859,0.9877977222714838,0.9995475414562125,1.0,0.9979133739143692,0.9984105112536141,0.9572578155060201,0.9549889639578666,0.9561038264854653,0.9643812843782557,0.9598121165847525,0.9941046058587686,0.9884734317711303,0.9805891253777558
Library-3-Neg-2,0.9823789989953636,0.9961333279217118,0.9958252152279872,0.9877511068860504,0.9940915193279244,0.9961448988815643,0.9947608779649715,0.982278586788847,0.9937921596888885,0.9919911396908719,0.9967574345787138,0.9979133739143692,1.0,0.9997093038771246,0.9633018911281342,0.9617910485723599,0.9615746577641016,0.9698937061650347,0.9640471738005659,0.9879736921446681,0.9925455553233834,0.9830409225640465
