mut_count,mean_residual,median_residual,sd_residual,n_genotypes
0,1.020157245965964,1.020157245965964,,1
1,0.5075469143580862,0.3140536070686102,0.6340411644301255,8
2,-0.09402758391115056,0.16666938502377934,1.4561188980943007,28
3,-0.280529492224919,0.025277423845596905,1.512224519256616,56
4,-0.2237088649663355,0.33080519436653955,1.6459985221071813,70
5,0.18642478208384347,0.46920108687631495,1.7001008775963538,56
6,0.4347361137676387,0.779025859460206,1.3220337345889814,28
7,0.6357903274200241,1.026057707155708,1.202166157440956,8
8,1.222790299371203,1.222790299371203,,1
