library_id,mut_count,mean_log2fc_pos_pre,mean_log2fc_neg_pre,mean_ddelta,sd_ddelta,n_genotypes,cutoff_total_umi_count
1,0,0.2535722902674898,-0.005689917743605748,0.2592622080110955,,1,0
1,1,-0.39111421857188544,-0.09225741584301214,-0.29885680272887327,0.9035271428664874,8,0
1,2,-0.7599750509798245,-0.218826901014494,-0.5411481499653306,1.5106768641632748,28,0
1,3,-1.3121445472090885,-0.33316212435621967,-0.9789824228528687,1.6211946201144865,56,0
1,4,-1.096031112548441,-0.2813618466982312,-0.8146692658502098,1.7738908074780604,70,0
1,5,-0.4776609907031298,-0.028474328959556133,-0.4491866617435735,1.6552732890537862,56,0
1,6,-0.026451691570716317,0.08364036074027344,-0.11009205231098973,1.4427765639873744,28,0
1,7,0.06161742790899011,0.7306913494143012,-0.6690739215053112,1.6334677524538908,8,0
1,8,1.4013574833130393,0.8700726782791035,0.5312848050339358,,1,0
2,0,0.50764062132486,-0.21016298270600509,0.7178036040308651,,1,0
2,1,-0.02745537282088252,-0.07783508633947528,0.050379713518592745,0.684913751672567,8,0
2,2,-0.8047742028349205,-0.04357374174092892,-0.7612004610939916,1.7334174637984492,28,0
2,3,-0.8496099019145086,-0.12144527649594321,-0.7281646254185654,1.7609808867314207,56,0
2,4,-0.7569782081672628,-0.10740584614165247,-0.6495723620256104,1.8017118056877452,70,0
2,5,-0.40530676633044177,-0.24089344340087435,-0.16441332292956742,2.0119976080746262,56,0
2,6,0.028097205897055427,-0.03849243477803965,0.06658964067509508,1.405450478054688,28,0
2,7,0.9838345801426337,-0.16772701809598334,1.1515615982386171,1.0039828035791458,8,0
2,8,1.6821628639390365,0.6516076690419825,1.030555194897054,,1,0
3,0,0.0022586756687291635,-0.2743860980083972,0.27664477367712637,,1,0
3,1,-0.2994289381738434,-0.3615657987231265,0.062136860549283114,1.1540628296040765,8,0
3,2,-0.19684383144109052,-0.4041652805376173,0.20732144909652678,1.1312116997847987,28,0
3,3,-0.3634894592998092,-0.33912722201438,-0.024362237285429182,1.2957314965965128,56,0
3,4,-0.36112503764713105,-0.3743998063720821,0.013274768724951065,1.3321563489749817,70,0
3,5,0.03928533940408695,-0.24067490236150973,0.2799602417655967,1.419433579225822,56,0
3,6,0.2721253683384635,-0.13867575296754744,0.41080112130601093,1.3046856784480996,28,0
3,7,0.8192461750631248,0.5351932906872259,0.2840528843758988,1.1852532057544336,8,0
3,8,1.4492007362915265,0.20920133798934923,1.2399993983021773,,1,0
1,0,0.2535722902674898,-0.005689917743605748,0.2592622080110955,,1,1000
1,1,-0.39111421857188544,-0.09225741584301214,-0.29885680272887327,0.9035271428664874,8,1000
1,2,-0.7599750509798245,-0.218826901014494,-0.5411481499653306,1.5106768641632748,28,1000
1,3,-1.3121445472090885,-0.33316212435621967,-0.9789824228528687,1.6211946201144865,56,1000
1,4,-1.096031112548441,-0.2813618466982312,-0.8146692658502098,1.7738908074780604,70,1000
1,5,-0.4776609907031298,-0.028474328959556133,-0.4491866617435735,1.6552732890537862,56,1000
1,6,-0.026451691570716317,0.08364036074027344,-0.11009205231098973,1.4427765639873744,28,1000
1,7,0.06161742790899011,0.7306913494143012,-0.6690739215053112,1.6334677524538908,8,1000
1,8,1.4013574833130393,0.8700726782791035,0.5312848050339358,,1,1000
2,0,0.5076397908216397,-0.21016298270600509,0.7178027735276448,,1,1000
2,1,-0.027455536423457605,-0.07783508633947528,0.05037954991601769,0.6849173093500464,8,1000
2,2,-0.804776055558621,-0.04357374174092892,-0.761202313817692,1.7334145952294153,28,1000
2,3,-0.8496102734550414,-0.12144527649594321,-0.7281649969590982,1.7609822067088448,56,1000
2,4,-0.7569897498358705,-0.10740584614165247,-0.649583903694218,1.8017470534232578,70,1000
2,5,-0.40530482519565186,-0.24089344340087435,-0.16441138179477746,2.011993282472996,56,1000
2,6,0.028099609147505207,-0.03849243477803965,0.06659204392554488,1.405447991046797,28,1000
2,7,0.9838390210657612,-0.16772701809598334,1.1515660391617444,1.0039824507018134,8,1000
2,8,1.6821616707959695,0.6516076690419825,1.030554001753987,,1,1000
3,0,0.0022696690201545705,-0.27437510465697157,0.27664477367712614,,1,1000
3,1,-0.2994331495677009,-0.361570010116984,0.06213686054928313,1.1540628296040762,8,1000
3,2,-0.19684507159340617,-0.4041665206899329,0.20732144909652675,1.1312116997847987,28,1000
3,3,-0.36348881598560734,-0.33912657870017815,-0.024362237285429213,1.2957314965965128,56,1000
3,4,-0.3611282869639194,-0.37440305568887045,0.013274768724951092,1.3321563489749817,70,1000
3,5,0.039293439291037346,-0.24066680247455927,0.27996024176559664,1.419433579225822,56,1000
3,6,0.2721248565906327,-0.13867626471537828,0.41080112130601104,1.3046856784480994,28,1000
3,7,0.8192591813063169,0.5352062969304181,0.2840528843758989,1.1852532057544338,8,1000
3,8,1.4491775744382307,0.20917817613605352,1.239999398302177,,1,1000
1,0,0.2535722902674898,-0.005689917743605748,0.2592622080110955,,1,10000
1,1,-0.39111421857188544,-0.09225741584301214,-0.29885680272887327,0.9035271428664874,8,10000
1,2,-0.7599750509798245,-0.218826901014494,-0.5411481499653306,1.5106768641632748,28,10000
1,3,-1.3121445472090885,-0.33316212435621967,-0.9789824228528687,1.6211946201144865,56,10000
1,4,-1.096031112548441,-0.2813618466982312,-0.8146692658502098,1.7738908074780604,70,10000
1,5,-0.4776609907031298,-0.028474328959556133,-0.4491866617435735,1.6552732890537862,56,10000
1,6,-0.026451691570716317,0.08364036074027344,-0.11009205231098973,1.4427765639873744,28,10000
1,7,0.06161742790899011,0.7306913494143012,-0.6690739215053112,1.6334677524538908,8,10000
1,8,1.4013574833130393,0.8700726782791035,0.5312848050339358,,1,10000
2,0,0.5076205459022918,-0.21018222762535294,0.7178027735276447,,1,10000
2,1,-0.027478206243184186,-0.07785775615920186,0.05037954991601765,0.6849173093500464,8,10000
2,2,-0.804757291619498,-0.04355497780180607,-0.761202313817692,1.733414595229415,28,10000
2,3,-0.8496172214993923,-0.1214522245402941,-0.7281649969590982,1.7609822067088445,56,10000
2,4,-0.7569861640930865,-0.10740226039886842,-0.649583903694218,1.8017470534232578,70,10000
2,5,-0.4053079858478505,-0.24089660405307306,-0.16441138179477746,2.011993282472996,56,10000
2,6,0.028095121585285845,-0.038496922340259,0.06659204392554481,1.405447991046797,28,10000
2,7,0.9838487739716371,-0.16771726519010738,1.1515660391617444,1.0039824507018131,8,10000
2,8,1.6821943513607305,0.6516403496067433,1.0305540017539871,,1,10000
3,0,0.0022696690201545705,-0.27437510465697157,0.27664477367712614,,1,10000
3,1,-0.2994331495677009,-0.361570010116984,0.06213686054928313,1.1540628296040762,8,10000
3,2,-0.19684507159340617,-0.4041665206899329,0.20732144909652675,1.1312116997847987,28,10000
3,3,-0.36348881598560734,-0.33912657870017815,-0.024362237285429213,1.2957314965965128,56,10000
3,4,-0.3611282869639194,-0.37440305568887045,0.013274768724951092,1.3321563489749817,70,10000
3,5,0.039293439291037346,-0.24066680247455927,0.27996024176559664,1.419433579225822,56,10000
3,6,0.2721248565906327,-0.13867626471537828,0.41080112130601104,1.3046856784480994,28,10000
3,7,0.8192591813063169,0.5352062969304181,0.2840528843758989,1.1852532057544338,8,10000
3,8,1.4491775744382307,0.20917817613605352,1.239999398302177,,1,10000
1,0,0.2531568674515952,-0.005950424942257069,0.2591072923938523,,1,100000
1,1,-0.3912275944482874,-0.09232873431255678,-0.29889886013573064,0.9034323279778843,8,100000
1,2,-0.7601298964437927,-0.21901721763856713,-0.5411126788052255,1.510564089158859,28,100000
1,3,-1.312128050800079,-0.333159051969255,-0.9789689988308241,1.6210950502983676,56,100000
1,4,-1.0959550985856097,-0.2812658493107619,-0.8146892492748478,1.7737904104152014,70,100000
1,5,-0.4776240570103744,-0.028411646294846837,-0.4492124107155276,1.655126737579515,56,100000
1,6,-0.02639969608169481,0.08368861081210002,-0.11008830689379487,1.4426795192123971,28,100000
1,7,0.06126555261731001,0.7304015984906049,-0.6691360458732949,1.633447121621262,8,100000
1,8,1.4004657059229764,0.8693553955619088,0.5311103103610676,,1,100000
2,0,0.5076205459022918,-0.21018222762535294,0.7178027735276447,,1,100000
2,1,-0.027478206243184186,-0.07785775615920186,0.05037954991601765,0.6849173093500464,8,100000
2,2,-0.804757291619498,-0.04355497780180607,-0.761202313817692,1.733414595229415,28,100000
2,3,-0.8496172214993923,-0.1214522245402941,-0.7281649969590982,1.7609822067088445,56,100000
2,4,-0.7569861640930865,-0.10740226039886842,-0.649583903694218,1.8017470534232578,70,100000
2,5,-0.4053079858478505,-0.24089660405307306,-0.16441138179477746,2.011993282472996,56,100000
2,6,0.028095121585285845,-0.038496922340259,0.06659204392554481,1.405447991046797,28,100000
2,7,0.9838487739716371,-0.16771726519010738,1.1515660391617444,1.0039824507018131,8,100000
2,8,1.6821943513607305,0.6516403496067433,1.0305540017539871,,1,100000
3,0,0.0023753688994408062,-0.27437510465697157,0.27675047355641236,,1,100000
3,1,-0.29994230946133565,-0.361570010116984,0.061627700655648314,1.1553197683302776,8,100000
3,2,-0.19734082102965547,-0.4041665206899329,0.20682569966027745,1.1316553628264756,28,100000
3,3,-0.36408071002704506,-0.33912657870017815,-0.024954131326866944,1.2963142439204673,56,100000
3,4,-0.36176467602145773,-0.37440305568887045,0.01263837966741274,1.3327783389985703,70,100000
3,5,0.038974047429366256,-0.24066680247455927,0.2796408499039255,1.4199047884253775,56,100000
3,6,0.2720223222628573,-0.13867626471537828,0.4106985869782355,1.3047653979598939,28,100000
3,7,0.8197382172023905,0.5352062969304181,0.2845319202719724,1.1855603867593743,8,100000
3,8,1.4499361209279178,0.20917817613605352,1.2407579447918642,,1,100000
