sample,Library-1-Pre-1,Library-1-Pre-2,Library-1-Pre-3,Library-2-Pre-2,Library-2-Pre-3,Library-3-Pre-2,Library-3-Pre-3,Library-1-Neg-1,Library-1-Neg-2,Library-1-Neg-3,Library-2-Neg-2,Library-2-Neg-3,Library-3-Neg-2,Library-3-Neg-3,Library-1-Pos-1,Library-1-Pos-2,Library-1-Pos-3,Library-2-Pos-2,Library-2-Pos-3,Library-3-Pos-1,Library-3-Pos-2,Library-3-Pos-3
Library-1-Pre-1,1.0,0.6145726221087143,0.6169082954361639,0.5143478944670601,0.6625838588548931,0.478036075121755,0.6647584759055583,0.9996444849434954,0.45734667782057975,0.45414400195442106,0.5979577171307853,0.6054986743069045,0.5726408741147704,0.5672882655639263,0.8766472872992179,0.8624842811181238,0.8779960415972494,0.8498947496233699,0.9754001977276813,0.5956712306001064,0.4530443359732531,0.9997286317688754
Library-1-Pre-2,0.6145726221087143,1.0,0.9931586639532847,0.7797758802192069,0.9209622348152394,0.6477794290728682,0.923482001088974,0.6199173899370527,0.5393036239214658,0.5242284031101626,0.74938068978994,0.7545030965362972,0.6235376415699652,0.621452436318133,0.5134880512820165,0.49484750385447174,0.5131570781021264,0.5165439219346071,0.5845319906566191,0.9702332157301836,0.5300642473611964,0.6160830238306864
Library-1-Pre-3,0.6169082954361639,0.9931586639532847,1.0,0.7887412593828406,0.9296033352782082,0.6654590642059542,0.9307089677275842,0.6226025614536276,0.5441757439736699,0.529539522838242,0.7564348887856919,0.7602584534140682,0.6353213880014684,0.6339439736978969,0.5164057443478455,0.49829132875790927,0.5157524049685581,0.5126252499651159,0.5856729609804542,0.9765172099033141,0.5360501887827536,0.6186097971732325
Library-2-Pre-2,0.5143478944670601,0.7797758802192069,0.7887412593828406,1.0,0.8617151001733677,0.6494486482242363,0.8655452088466393,0.5206096819808128,0.42404005613478496,0.4107272376168179,0.70992098529179,0.7155391343629723,0.6283672054091333,0.6266938549586004,0.3504838909744815,0.3275557097658157,0.3513116628643262,0.45776819266279634,0.5035192141099966,0.7802368716286022,0.4157962200530293,0.5160204990613715
Library-2-Pre-3,0.6625838588548931,0.9209622348152394,0.9296033352782082,0.8617151001733677,1.0,0.7190436189191699,0.9985323633119649,0.6679458867408574,0.49626290540285906,0.4838455221603265,0.848869784769071,0.8528069773019342,0.7058746915817877,0.7032122956138728,0.47895143788580463,0.45848795683928645,0.4787117796262435,0.5743154294694472,0.6366359108436191,0.9053086659638652,0.48997422246441,0.6640385866612182
Library-3-Pre-2,0.478036075121755,0.6477794290728682,0.6654590642059542,0.6494486482242363,0.7190436189191699,1.0,0.7193925175359108,0.48336107777232684,0.4609648759560814,0.4596227041421143,0.5698322979259529,0.5735272183031359,0.4805766681429209,0.48228144948815266,0.34725601779077625,0.3322622647730846,0.3457014318648176,0.4041282275369885,0.46171642681413,0.6540854587064426,0.46399117938222684,0.4785019050096671
Library-3-Pre-3,0.6647584759055583,0.923482001088974,0.9307089677275842,0.8655452088466393,0.9985323633119649,0.7193925175359108,1.0,0.6702127665246446,0.4902192310318006,0.47754796136736843,0.8466960749333682,0.8515246320553107,0.7034594775450047,0.6997591013706819,0.4810103333537336,0.4593247367767614,0.4810483961393323,0.576745482327233,0.6391489655178715,0.908985728876953,0.4835955814748068,0.6661633649269476
Library-1-Neg-1,0.9996444849434954,0.6199173899370527,0.6226025614536276,0.5206096819808128,0.6679458867408574,0.48336107777232684,0.6702127665246446,1.0,0.4534858765313438,0.44984150295583375,0.5996017820595433,0.6075262556681463,0.5728696249480273,0.5672112000003222,0.8741542857445901,0.8591217712113312,0.8757254281021818,0.8504904935480306,0.9759851999342288,0.601190962829076,0.44895694973566574,0.9998676085756864
Library-1-Neg-2,0.45734667782057975,0.5393036239214658,0.5441757439736699,0.42404005613478496,0.49626290540285906,0.4609648759560814,0.4902192310318006,0.4534858765313438,1.0,0.9845056972906878,0.44214288810732477,0.43931773230129006,0.4750251606769034,0.4832942761425834,0.4559676469999634,0.4609557628658257,0.4528085047692313,0.38646844734410424,0.42719014325710447,0.5268227161564432,0.9846702619931901,0.453226025735522
Library-1-Neg-3,0.45414400195442106,0.5242284031101626,0.529539522838242,0.4107272376168179,0.4838455221603265,0.4596227041421143,0.47754796136736843,0.44984150295583375,0.9845056972906878,1.0,0.4282857480797792,0.4249228570395508,0.4746433831339653,0.4830770709922458,0.4491239163423359,0.4551631728933431,0.4457980365780081,0.3814084376851812,0.4197908402988227,0.5148965589916207,0.9997234360993229,0.4496166370986839
Library-2-Neg-2,0.5979577171307853,0.74938068978994,0.7564348887856919,0.70992098529179,0.848869784769071,0.5698322979259529,0.8466960749333682,0.5996017820595433,0.44214288810732477,0.4282857480797792,1.0,0.99903532532026,0.6386795094329957,0.6349384946984422,0.4381543901801382,0.42226062915306434,0.43803903896692303,0.49156219066410967,0.5780304718732325,0.7383065689222942,0.4336973432848199,0.5982570325657716
Library-2-Neg-3,0.6054986743069045,0.7545030965362972,0.7602584534140682,0.7155391343629723,0.8528069773019342,0.5735272183031359,0.8515246320553107,0.6075262556681463,0.43931773230129006,0.4249228570395508,0.99903532532026,1.0,0.6382159386256081,0.6336129378372215,0.44342448176919447,0.42568899703005936,0.44370395547382224,0.5006803306242006,0.5861165482119337,0.743503165743519,0.43044217541285107,0.6059770108256176
Library-3-Neg-2,0.5726408741147704,0.6235376415699652,0.6353213880014684,0.6283672054091333,0.7058746915817877,0.4805766681429209,0.7034594775450047,0.5728696249480273,0.4750251606769034,0.4746433831339653,0.6386795094329957,0.6382159386256081,1.0,0.998409014019452,0.4393954165744334,0.42923444819396084,0.4386558346820698,0.4376783463600718,0.5446620909029722,0.6002182984110929,0.4760244489439061,0.5707798089393493
