library_id,metric,n_edges,n_uphill_edges,mean_edge_delta,median_edge_delta,min_edge_delta,max_edge_delta,fraction_uphill
1,ddelta,1024,547,0.0898644211488681,0.11375722966478714,-5.6037975664844275,8.279896424810449,0.5341796875
1,log2fc_neg_pre,1024,557,0.11182520302880174,0.09115520385577287,-3.74096381915495,4.468862631489337,0.5439453125
1,log2fc_pos_pre,1024,557,0.20168962417766984,0.13238559076443518,-5.27258046722267,7.055097494795343,0.5439453125
2,ddelta,1024,538,0.20626111374062125,0.09192244451230075,-5.800553993818614,10.749116754294375,0.525390625
2,log2fc_neg_pre,1024,512,-0.009989976390465992,-0.0017911353728848924,-3.3867899558905177,3.7136071020379706,0.5
2,log2fc_pos_pre,1024,558,0.19627113735015525,0.09836712010668608,-4.660885784052291,8.561412400405356,0.544921875
3,ddelta,1024,527,0.07346938191587411,0.0682919333781941,-5.523818297441551,5.983835377789588,0.5146484375
3,log2fc_neg_pre,1024,537,0.08561974869985173,0.07486506488454396,-5.11197010276911,5.772507792484261,0.5244140625
3,log2fc_pos_pre,1024,580,0.15908913061572585,0.1505596501963807,-2.931913543866368,2.9323589524516827,0.56640625
