sample,Library-1-Pre-1,Library-1-Pre-2,Library-1-Pre-3,Library-2-Pre-2,Library-2-Pre-3,Library-3-Pre-2,Library-3-Pre-3,Library-1-Neg-1,Library-1-Neg-2,Library-1-Neg-3,Library-2-Neg-2,Library-2-Neg-3,Library-3-Neg-2,Library-3-Neg-3,Library-1-Pos-1,Library-1-Pos-2,Library-1-Pos-3,Library-2-Pos-2,Library-2-Pos-3,Library-3-Pos-1,Library-3-Pos-2,Library-3-Pos-3
Library-1-Pre-1,1.0,-0.20573796879530304,-0.1841558505313086,-0.14889276561951442,-0.2526219350740017,-0.4757649040404499,-0.2146279001227371,0.9976851326047569,-0.06502513024065394,-0.22429275115026348,-0.28093949172430493,-0.2860743735119027,-0.2629088775127226,-0.36752625741835626,0.9682704731822375,0.9378654343928351,0.9701216299436318,0.9167264820110763,0.9916892809023807,0.14098936600939282,-0.2312289944613463,0.9988317293194703
Library-1-Pre-2,-0.20573796879530304,1.0,0.9354431018471707,0.9329554160583456,0.9541025964839028,0.8665296837734101,0.966824521451163,-0.2159613236663147,0.3880647136039914,0.3078596006535918,0.9133585003758137,0.9160309366093923,0.7667611830815293,0.7650648649686657,-0.353992882894733,-0.4042631675599523,-0.36548411411967285,-0.14562666642224079,-0.26835453128277403,0.8453598312733903,0.371431795319735,-0.22298616165044036
Library-1-Pre-3,-0.1841558505313086,0.9354431018471707,1.0,0.8755535991553628,0.9838089246552961,0.8313324710789515,0.9792995809551752,-0.18096157428477055,0.4254782841765475,0.35844582757395704,0.9756749180725244,0.9791177565158002,0.7028703043648931,0.7207146542021332,-0.31298345270376304,-0.3697921844117471,-0.31880406771977127,-0.10489893469625633,-0.23151238402498858,0.9291679646563864,0.4177711026322911,-0.19268386553153782
Library-2-Pre-2,-0.14889276561951442,0.9329554160583456,0.8755535991553628,1.0,0.8715655449913939,0.7248767961736815,0.8982279704892839,-0.15790193634505134,0.37525196016358897,0.3168059625801148,0.85435973407968,0.8596576209049839,0.8728185776900161,0.8344655780497829,-0.2895274549197867,-0.33351043459510715,-0.30182632437619655,-0.100220048989409,-0.20073444918502537,0.8241000919723543,0.3778481678325855,-0.16757772488239836
Library-2-Pre-3,-0.2526219350740017,0.9541025964839028,0.9838089246552961,0.8715655449913939,1.0,0.8943597543863919,0.9957213120386679,-0.24736216749979467,0.3901799835792818,0.3109991098327892,0.9702699175761066,0.9823859904800067,0.7335604695653232,0.7468881412267241,-0.40350977396366966,-0.46475815052988007,-0.40675437482537113,-0.18559246236700958,-0.29186900468003,0.875904426289979,0.37097549245434847,-0.2588548638906632
Library-3-Pre-2,-0.4757649040404499,0.8665296837734101,0.8313324710789515,0.7248767961736815,0.8943597543863919,1.0,0.8692472797310944,-0.479699574679957,0.44797874295604057,0.4096436557712773,0.8945894728584779,0.8920925296348949,0.7409493196737186,0.8088621157437889,-0.5839572041447738,-0.6158299264444099,-0.5881716803896598,-0.4863319699259161,-0.5135070743866913,0.5955517146237853,0.45057733928966204,-0.4854381882668583
Library-3-Pre-3,-0.2146279001227371,0.966824521451163,0.9792995809551752,0.8982279704892839,0.9957213120386679,0.8692472797310944,1.0,-0.21069729790706604,0.3550146206164437,0.2672065464878824,0.9567887610085871,0.97051296205561,0.7425675426820637,0.7387814195989394,-0.37646046663424004,-0.440918664041984,-0.38061437662084396,-0.14124790558150455,-0.25430153934824834,0.8894522615775589,0.33057300539076934,-0.22200400123132974
Library-1-Neg-1,0.9976851326047569,-0.2159613236663147,-0.18096157428477055,-0.15790193634505134,-0.24736216749979467,-0.479699574679957,-0.21069729790706604,1.0,-0.05924218623303918,-0.2243246336982913,-0.280603759412705,-0.2789225232576856,-0.2647443244130156,-0.3729536364636514,0.9605457840791287,0.92552532895004,0.9650767818747289,0.9105037083661754,0.9945332938615444,0.14723926321822683,-0.23104452638993925,0.9996571260689894
Library-1-Neg-2,-0.06502513024065394,0.3880647136039914,0.4254782841765475,0.37525196016358897,0.3901799835792818,0.44797874295604057,0.3550146206164437,-0.05924218623303918,1.0,0.9662470998995296,0.4696404112893341,0.48483177219926843,0.5368366497884405,0.6056198270365417,-0.02129181212060507,-0.021304959448582437,-0.01588398933717833,-0.3256142961257145,-0.1344808970909394,0.3961111156248627,0.9711254032103819,-0.07006675205121302
Library-1-Neg-3,-0.22429275115026348,0.3078596006535918,0.35844582757395704,0.3168059625801148,0.3109991098327892,0.4096436557712773,0.2672065464878824,-0.2243246336982913,0.9662470998995296,1.0,0.4274851713346918,0.4269269296445957,0.4983136962106754,0.598225059269623,-0.13310047693115284,-0.10964160701641998,-0.132307393648537,-0.4548952964866994,-0.29313307862590154,0.2826135821145524,0.9970847850135289,-0.23281975959221568
