y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
15,0.638082781623222,1.503266140830189,1.249770437804632,1.367489439312413,2.917680534687621,1.1632738862226,1.535567875205646,1.039185911186048,4.284343266920742,1.35143647354538,0.6822470988263061,1.415638524048208,1.243839510121518,1.867242215975999,-1.613687388235262,1.222790299371203
14,0.8390385940081948,1.17104884940781,1.269940344261689,1.774058427602194,1.989546313441219,1.597651958731158,0.2812784438017594,0.8123346649482869,1.597251618020076,0.5679600384456945,0.4352914764542793,0.5290494848983915,0.2335117139787068,1.057415727135112,0.327827939038509,1.012929503125368
13,0.7891998743437044,-1.381559159010486,-0.705118529516232,-1.552728730564968,0.7160582067714952,-1.489274166275445,-0.4288949933723137,-1.033459484549961,0.6272534509878018,-0.7214314029078501,-1.298464855459648,-1.47861440396338,0.8218036044547242,0.8220067677372255,-1.109715185401255,-0.5202192511278037
12,-1.197823912291505,-2.587938544552461,-1.178004039903798,-1.872804342162672,-0.4074790000288447,-3.033875647858359,-2.678133831186754,-4.697011161527125,-0.1289685153622406,-3.454784149858224,-1.202580187652754,-2.754128675003641,0.469001816180496,-0.7273261568977972,-0.5817869225018082,-3.306669579796305
11,0.7568457657002221,0.4124550475816658,0.1247675093068523,0.6254567741717172,1.613797325627853,1.740136821909519,0.3113658777678716,-0.4093694754645337,0.838192150831055,0.2973123833704497,-0.110360703743532,-0.2387745260816643,1.233734528906973,1.237506379433818,0.7476481662711152,0.2003118408836305
10,1.492528430727237,2.016720883134519,0.7234785899049537,0.4670508795187571,1.445905898042775,0.8143398451378911,0.8907483993817805,0.9663965119118857,1.015856547011593,1.086095508713552,0.4925816741853301,1.493271291685758,1.391402762724683,1.40800116593581,0.4584977655553746,1.447372070825142
9,-4.875023117045153,-5.083775243205933,-3.622296937690677,-4.396090704923979,-2.492137394211333,-4.239978937536987,-3.025247702816578,-4.961774623150781,-1.388377413760493,-4.557875379007053,-1.897765290414935,-2.645575953785762,-0.8579517517001232,-1.496808252616388,-3.132556706112427,-2.479132934141155
8,0.2414712150796254,-3.220266082310051,-0.5688646952184212,-2.977331286681174,-0.2049077971896475,-1.920555038496299,0.1419652734617978,-3.120732625231777,0.1924290598048851,-2.275527774223423,-0.9445931993600503,-0.8397341907451709,0.613275689293973,-1.408782447017189,-0.3637604763304064,-1.676296969968984
7,0.9466502633423681,2.871113070607425,1.217310235469693,2.668768802910185,1.760312481103525,1.64883514503782,1.010963392281281,3.135276890647639,1.322309303028215,1.504451428250464,0.3525370585779322,1.260915793312097,1.127900042759933,1.108367327235336,0.8104035526492968,1.684921263504005
6,0.8256551879253824,1.095966934592074,-0.8445145376189367,0.6085045872399385,1.027814411899583,1.665129316192979,0.4362102950609315,0.6037817734364037,1.396117344509693,0.7313888470576835,-0.2183338394878751,0.8414198202965336,1.469088173120484,2.021440379770097,1.303645321749417,0.747163965808358
5,-0.3027087962308586,-0.9066134658990543,-0.5702092477756436,-0.9027488194125038,1.11877881055944,-0.3526209859810554,-1.056690818073985,-0.8621256553737234,-0.3931854314550035,-0.08888245659095884,-2.152858109747116,-1.089098450989256,0.5439327295448039,0.9975857682608079,-0.2513740857654501,0.3033983682922666
4,-0.4701153828331592,-1.449419154214933,-1.30134133846433,-1.605702529716874,0.08246454623554383,-0.750529427158118,-0.3937713904013143,-2.279660688103452,0.1409097102426736,-1.009508657476655,-2.168794821968607,-0.5135326113752502,0.5453056232096658,-1.17092892816279,-1.701227669150437,-0.8505618903167891
3,1.113161812321602,1.594446970574961,0.2978467727808856,1.386898511837446,1.222688644139557,1.003294521935097,0.2491553411514133,0.9177718604757936,0.373133086957329,1.189880056094301,-0.736967029576564,0.9961976086013415,1.039548358024751,1.193906633222553,0.4799044081972553,0.5378053934256812
2,1.273871600998427,0.7174499791558734,-0.4527138461853396,0.8514340355138535,1.405379180761329,0.8027455589346406,0.5278696765572637,0.8549061737429593,1.186707523998505,1.794336549571522,-0.1093590212269192,0.6927201563176592,1.543076000061054,1.096481307233883,0.002157145685351358,0.1780278198668771
1,0.1140758263664012,-1.362416993172155,-0.5777750072598932,-2.181378262280314,0.2346242946560242,-2.460652947930404,-1.39471145119507,-2.12649264503855,0.08628047136668371,-0.5534390591280852,-1.257349113036358,-0.3075508238306189,0.2797625648739377,-0.006042275849843848,-0.4430717332543077,-0.2805582755928315
0,1.020157245965964,0.386635999057595,0.1538290160052561,1.696144504979508,1.165712124894336,0.4588594515263597,0.2523782326249694,-0.09141042577060399,1.194894915296208,0.6438951344879169,0.5535672719610178,0.8702338809731227,1.79805359729456,1.205437168797271,0.1525312001692664,0.6848091448097338
