term_order,sum_coefficient_squared,n_terms,fraction_of_coefficient_power,library_id,response_col,cumulative_fraction
1,8.206503726470567,8,0.0017026693540238202,1,ddelta,0.0017026693540238202
2,54.74979007369226,28,0.011359379439142172,1,ddelta,0.013062048793165991
3,248.63406741297473,56,0.05158611036571531,1,ddelta,0.06464815915888131
4,836.1333102630238,70,0.17347930503842282,1,ddelta,0.23812746419730413
5,1601.7036105031607,56,0.33231833466868266,1,ddelta,0.5704457988659868
6,1404.2093718884216,28,0.29134261603214157,1,ddelta,0.8617884148981283
7,490.5908972467379,8,0.10178684052877648,1,ddelta,0.9635752554269048
8,175.559512696005,1,0.0364247445730951,1,ddelta,0.9999999999999999
1,6.847385127623635,8,0.0013709405688885246,2,ddelta,0.0013709405688885246
2,62.747809758930146,28,0.012562973515303178,2,ddelta,0.013933914084191703
3,284.32198241163803,56,0.05692516676803296,2,ddelta,0.07085908085222467
4,644.9058623842027,70,0.12911901307986998,2,ddelta,0.19997809393209465
5,1136.7513747581634,56,0.22759324141252346,2,ddelta,0.4275713353446181
6,1334.4029071821203,28,0.2671657934528418,2,ddelta,0.69473712879746
7,1004.7548844500944,8,0.20116573074363928,2,ddelta,0.8959028595410992
8,519.9300593929576,1,0.10409714045890076,2,ddelta,1.0
1,9.691136261071575,8,0.00160951264156687,3,ddelta,0.00160951264156687
2,83.8976225431427,28,0.013933792740384261,3,ddelta,0.01554330538195113
3,408.19648802586306,56,0.06779364050012646,3,ddelta,0.08333694588207759
4,1184.6249477745098,70,0.1967435786263252,3,ddelta,0.28008052450840276
5,1914.9661330139563,56,0.3180393006792357,3,ddelta,0.5981198251876385
6,1685.0980886969483,28,0.2798626087771069,3,ddelta,0.8779824339647453
7,727.5570026696737,8,0.12083332250328495,3,ddelta,0.9988157564680303
8,7.130522083653255,1,0.0011842435319697636,3,ddelta,1.0
