metric,library_a,library_b,n_genotypes,pearson_r,spearman_r
log2fc_pos_pre,Library_1,Library_2,256,0.8513146914130542,0.8621845674067291
log2fc_pos_pre,Library_1,Library_3,256,0.5954036955945405,0.6327463378347447
log2fc_pos_pre,Library_2,Library_3,256,0.6280456677115596,0.62665655756466
log2fc_neg_pre,Library_1,Library_2,256,0.06920093179511241,0.020219872968642708
log2fc_neg_pre,Library_1,Library_3,256,0.09214398023648343,0.12231202792401005
log2fc_neg_pre,Library_2,Library_3,256,0.16109164091476608,0.10492675669489583
ddelta,Library_1,Library_2,256,0.6672037916229415,0.6324630922407872
ddelta,Library_1,Library_3,256,0.19478017576858295,0.21777723735408558
ddelta,Library_2,Library_3,256,0.3853552423355451,0.4060425726710917
